SurveyDateStamp	SurveyType	SurveyID	Reach_Name	Reach_ID	Cell_Size	Use	pctCoverage
20001023		IL_BR_MVR_20001023_CS_28872893_00A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	24.92
20030220		IL_BR_MVR_20030220_CS_28742880_03A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	2.11
20030304		IL_BR_MVR_20030304_CS_28872888_03A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	7.57
20040409		IL_BR_MVR_20040409_CS_28862889_04A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	24.93
20040419		IL_BR_MVR_20040419_CS_28872889_04B	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	20.52
20040429		IL_BR_MVR_20040429_CS_28882889_04C	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	6.02
20050111		IL_BR_MVR_20050111_CS_28832911_05A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	58.95
20060228		IL_BR_MVR_20060228_CS_28842890_06A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	54.63
20070214		IL_BR_MVR_20070214_CS_28722882_07A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	16.17
20070215		IL_BR_MVR_20070215_CS_28822892_07A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	71.65
20071219		IL_BR_MVR_20071219_CS_28702880_07B	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	1.32
20071219		IL_BR_MVR_20071219_CS_28802890_07B	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	82.81
20101220		IL_BR_MVR_20101220_CS_28802890_10A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	88.48
20130108		IL_BR_MVR_20130108_CS_28702880_13A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	1.81
20130108		IL_BR_MVR_20130108_CS_28802890_13A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	77.52
20171219		IL_BR_MVR_20171219_CS_28842894_17A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	53.29
20220506		IL_BR_MVR_20220506_CS_28602880_22A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	11.57
20220506		IL_BR_MVR_20220506_CS_28802900_22A	Brandon Road Pool RM 288 - 289	IL_BR_MVR_3	10	1	90.58
19990519		IL_BR_MVR_19990519_CS_28602910_99A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	77.8
20050111		IL_BR_MVR_20050111_CS_28832911_05A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	83.99
20060228		IL_BR_MVR_20060228_CS_28842890_06A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	1.46
20070215		IL_BR_MVR_20070215_CS_28822892_07A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	15.37
20070307		IL_BR_MVR_20070307_CS_28922900_07A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	72.01
20071219		IL_BR_MVR_20071219_CS_28802890_07B	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	1.1
20080123		IL_BR_MVR_20080123_CS_28902900_08A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	84.6
20090513		IL_BR_MVR_20090513_CS_28982902_09A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	13.01
20101220		IL_BR_MVR_20101220_CS_28802890_10A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	1.36
20101221		IL_BR_MVR_20101221_CS_28902900_10A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	80.72
20110322		IL_BR_MVR_20110322_CS_28982902_11A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	6.72
20130108		IL_BR_MVR_20130108_CS_28802890_13A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	2.47
20130109		IL_BR_MVR_20130109_CS_28902900_13A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	76.17
20171219		IL_BR_MVR_20171219_CS_28842894_17A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	29.53
20220506		IL_BR_MVR_20220506_CS_28802900_22A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	88.2
20220506		IL_BR_MVR_20220506_CS_29002910_22A	Brandon Road Pool RM 289 - 290	IL_BR_MVR_4	10	1	9.74
19990519		IL_BR_MVR_19990519_CS_28602910_99A	Brandon Road Pool RM 290 - 291.1	IL_BR_MVR_5	10	1	64.29
20000209		IL_BR_MVR_20000209_CS_29012901_00A	Brandon Road Pool RM 290 - 291.1	IL_BR_MVR_5	10	1	8.37
20030128		IL_BR_MVR_20030128_CS_29082910_03A	Brandon Road Pool RM 290 - 291.1	IL_BR_MVR_5	10	1	15.61
20050111		IL_BR_MVR_20050111_CS_28832911_05A	Brandon Road Pool RM 290 - 291.1	IL_BR_MVR_5	10	1	78.62
