SURVEYJOBIDPK,SDSID,SDSFEATURENAME,SDSFEATUREDESCRIPTION,SDSMETADATAID,MEDIAIDFK,SURVEYTYPE,SURVEY_YEAR,DATE_START,DATE_END,DN_RIV_MIL,UP_RIV_MIL,RIVER,POOL,SURVEY_VESSEL,SURVEY_LOCATION,DATA_DENSITY,WATER_SURFACE,WS_DATUM,STAGE,LOL_SURFACE,LABOR_SOURCE,PLOT_LINK,POINT_COUNT,Z_MIN,Z_MAX,Z_MEAN,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
MVRIWPE_21482160_21E,,Clark Island,Multibeam,,,afterDredging,2021,20210727,20210727,214.8,216,Illinois_Waterway,PE,CORMORANT,CHANNEL,5,442.73,NGVD 29,2.58,440,Hired_Labor,,134661,-15.88,-2.99,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWPE_21472160_21F,,Clark Island,Multibeam,,,afterDredging,2021,20210804,20210804,214.7,216,Illinois_Waterway,PE,CORMORANT,CHANNEL,5,440.84,NGVD 29,0.69,440,Hired_Labor,,161093,-16.77,-3.02,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWPE_19301963_21B,,Henry,Multibeam,,,conditional,2021,20211108,20211108,193,196.3,Illinois_Waterway,PE,CORMORANT,CHANNEL,5,445.61,NGVD 29,5.61,440,Hired_Labor,,426725,-29.66,-3.02,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_30583072_21A,,104th Ave,Multibeam,,,conditional,2021,20210203,20210203,305.8,307.2,Illinois_Waterway,CS,CORMORANT,CHANNEL,5,577.1,NGVD 29,0.4,577.5,Hired_Labor,,45030,-17.03,-6.39,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_30703092_21A,,96th Ave ,Multibeam,,,conditional,2021,20210203,20210203,307,309.2,Illinois_Waterway,CS,CORMORANT,CHANNEL,5,577.1,NGVD 29,0.4,577.5,Hired_Labor,,79715,-18.73,-6.04,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_30883112_21A,,SW Highway,Multibeam,,,conditional,2021,20210203,20210203,308.8,311.2,Illinois_Waterway,CS,CORMORANT,CHANNEL,5,577.1,NGVD 29,0.4,577.5,Hired_Labor,,79986,-18.83,-5.45,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_31103118_21A,,Harlem Avenue,Multibeam,,,conditional,2021,20210203,20210203,311,311.8,Illinois_Waterway,CS,CORMORANT,CHANNEL,5,577.1,NGVD 29,0.4,577.5,Hired_Labor,,35903,-16.54,-5.28,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_31103130_21B,,Ridgeland Avenue,Multibeam,,,conditional,2021,20210203,20210203,311,313,Illinois_Waterway,CS,CORMORANT,CHANNEL,5,577.1,NGVD 29,0.4,577.5,Hired_Labor,,94289,-17.95,-1.87,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_31303150_21A,,127th Street,Multibeam,,,conditional,2021,20210203,20210203,313,315,Illinois_Waterway,CS,CORMORANT,CHANNEL,5,577.1,NGVD 29,0.4,577.5,Hired_Labor,,68600,-20.87,-2.82,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_31473172_21A,,Crawford Ave,Multibeam,,,conditional,2021,20210203,20210203,314.7,317.2,Illinois_Waterway,CS,CORMORANT,CHANNEL,5,577.1,NGVD 29,0.4,577.5,Hired_Labor,,80908,-25.26,-2.95,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_31703190_21A,,Blue Island,Multibeam,,,conditional,2021,20210203,20210203,316.8,319.3,Illinois_Waterway,CS,CORMORANT,CHANNEL,5,577.1,NGVD 29,0.4,577.5,Hired_Labor,,80679,-22.74,-2.89,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRUM13_52965303_21H,,Elk River,Multibeam,,,beforeDredging,2021,20210620,20210620,529.6,530.3,Mississippi_River,13,CORMORANT,CHANNEL,5,583,MSL 1912,0,583,Hired_Labor,,110874,-30.09,-3.51,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM13_53305336_21D,,Dark Slough,Multibeam,,,beforeDredging,2021,20210630,20210630,533,533.6,Mississippi_River,13,DUBUQUE,CHANNEL,5,584.03,MSL 1912,1.03,583,Hired_Labor,,85616,-19.09,-7.35,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM13_52955302_21I,,Elk River,Multibeam,,,afterDredging,2021,20210701,20210701,529.5,530.2,Mississippi_River,13,DUBUQUE,CHANNEL,5,583.7,MSL 1912,0.7,583,Hired_Labor,,93775,-29.33,-6.99,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM13_53185321_21D,,Dark Slough,Multibeam,,,beforeDredging,2021,20210701,20210701,531.8,532.1,Mississippi_River,13,DUBUQUE,CHANNEL,5,583.85,MSL 1912,0.85,583,Hired_Labor,,172183,-28.87,-8.79,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM13_52855309_21J,,Elk River,Singlebeam,,,conditional,2021,20210709,20210709,528.5,530.9,Mississippi_River,13,DUBUQUE,CHANNEL,100,583.62,MSL 1912,0.62,583,Hired_Labor,,49539,-40.89,-2.96,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM13_53845396_21C,,Savanna Bay Lower,Multibeam,,,conditional,2021,20210716,20210716,538.4,539.6,Mississippi_River,13,CORMORANT,CHANNEL,5,584.15,MSL 1912,1.14,583,Hired_Labor,,321680,-42.55,-2.99,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM11_60506070_20A,,Cassvile Lower,Multibeam,,,conditional,2020,20201203,20201203,605,607,Mississippi_River,11,CORMORANT,CHANNEL,5,605.4,MSL 1912,2.4,603,Hired_Labor,,322499,-34.94,-4.86,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
MVRUM11_61096131_20B,,St. Louis Woodyard,Multibeam,,,conditional,2020,20201202,20201202,610.9,613.1,Mississippi_River,11,CORMORANT,CHANNEL,5,606.39,MSL 1912,3.39,603,Hired_Labor,,251996,-31.82,-3.05,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
MVRUM11_61306151_20B,,Lock and Dam 10 Lower,Multibeam,,,conditional,2020,20201202,20201202,613,615.1,Mississippi_River,11,CORMORANT,CHANNEL,5,606.73,MSL 1912,3.73,603,Hired_Labor,,244199,-54.63,-4.46,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
MVRUM13_52895303_20H,,Elk River,Multibeam,,,conditional,2020,20201124,20201124,528.9,530.3,Mississippi_River,13,CLARK,CHANNEL,5,583.4,MSL 1912,0.37,583,Hired_Labor,,166140,-41.44,-2.72,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
MVRUM14_50935101_20D,,Marais Dosier ,Multibeam,,,beforeDredging,2020,20201102,20201102,509.3,510.1,Mississippi_River,14,CLARK,CHANNEL,5,575.59,MSL 1912,1.59,572,Hired_Labor,,84479,-27.95,-7.74,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
MVRUM22_30503062_20G,,Harris Island,Multibeam,,,beforeDredging,2020,20201021,20201021,305,306.2,Mississippi_River,22,CLARK,CHANNEL,5,460.18,MSL 1912,0.68,459.5,Hired_Labor,,182073,-38.09,-4.92,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
MVRUM19_38933902_20H,,Dallas Island,Multibeam,,,afterDredging,2020,20201020,20201020,389.3,390.2,Mississippi_River,19,CLARK,CHANNEL,5,519.02,MSL 1912,0.82,518.2,Hired_Labor,,70276,-16.67,-5.22,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
MVRIWPE_18021822_21B,,Chillicothe,Multibeam,,,conditional,2021,20211109,20211109,180.2,182.2,Illinois_Waterway,PE,CORMORANT,CHANNEL,5,445.39,NGVD 29,5.39,440,Hired_Labor,,238307,-34.65,-2.99,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWPE_22992309_21A,,Starved Rock Lower Approach,Singlebeam,,,conditional,2021,20211110,20211110,229.9,230.9,Illinois_Waterway,PE,CORMORANT,CHANNEL,5,446.02,NGVD 29,5.72,440,Hired_Labor,,58785,-19,-3.02,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWPE_17201735_21C,,Mossville Landing,Singlebeam,,,conditional,2021,20211123,20211123,172,173.5,Illinois_Waterway,PE,COOT,LOCK_DAM,100,440.63,NGVD 29,0.63,440,Hired_Labor,,17471,-19.97,-2.69,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWPE_21172138_21B,,Lyons Lake,Multibeam,,,conditional,2021,20211221,20211221,211.7,213.8,Illinois_Waterway,PE,CORMORANT,CHANNEL,5,446.02,NGVD 29,5.72,440,Hired_Labor,,319112,-32.45,-0.89,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRUM13_53305335_21E,,Dark Slough,Multibeam,,,afterDredging,2021,20210719,20210719,533,533.5,Mississippi_River,13,CORMORANT,CHANNEL,5,583.64,MSL 1912,0.64,583,Hired_Labor,,136177,-23.23,-3.84,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM13_53295336_21F,,Dark Slough,Multibeam,,,afterDredging,2021,20210724,20210724,532.9,533.6,Mississippi_River,13,DUBUQUE,CHANNEL,5,583.59,MSL 1912,0.59,583,Hired_Labor,,74588,-21.82,-7.05,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM13_52885304_21K,,Elk River,Multibeam,,,conditional,2021,20210727,20210727,528.8,530.4,Mississippi_River,13,DUBUQUE,CHANNEL,5,583.53,MSL 1912,0.53,583,Hired_Labor,,191685,-40.03,-6,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRIWCS_31883219_21A,,Blue Island Lock,Multibeam,,,conditional,2021,20210203,20210203,318.8,321.9,Illinois_Waterway,CS,CORMORANT,CHANNEL,5,577.1,NGVD 29,0.4,577.5,Hired_Labor,,148590,-34.22,-2.62,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_32063228_21B,,Acme Bend,Multibeam,,,conditional,2021,20210203,20210203,320.6,322.8,Illinois_Waterway,CS,CORMORANT,CHANNEL,5,577.1,NGVD 29,0.4,577.5,Hired_Labor,,96685,-29.95,-2.62,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_32263251_21A,,Klimek Boat Yard,Multibeam,,,conditional,2021,20210203,20210203,322.6,325.1,Illinois_Waterway,CS,CORMORANT,CHANNEL,5,577.1,NGVD 29,0.4,577.5,Hired_Labor,,114673,-20.67,-2.95,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_32483263_21A,,Mich. Central Bridge,Multibeam,,,conditional,2021,20210203,20210203,324.8,326.3,Illinois_Waterway,CS,CORMORANT,CHANNEL,5,577.1,NGVD 29,0.4,577.5,Hired_Labor,,63388,-28.35,-3.02,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_31073120_21C,,Harlem Avenue,Multibeam,,,conditional,2021,20210302,20210302,310.7,312,Illinois_Waterway,CS,DUBUQUE,CHANNEL,5,577.35,NGVD 29,-0.15,577.5,Hired_Labor,,68916,-22.38,-6.46,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_31203140_21B,,Ridgeland Ave,Multibeam,,,conditional,2021,20210302,20210302,312,314,Illinois_Waterway,CS,DUBUQUE,CHANNEL,5,577.35,NGVD 29,-0.15,577.5,Hired_Labor,,98420,-22.44,-6.02,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_31403160_21B,,Cicero Ave,Multibeam,,,conditional,2021,20210302,20210302,314,316,Illinois_Waterway,CS,DUBUQUE,CHANNEL,5,577.35,NGVD 29,-0.15,577.5,Hired_Labor,,104910,-21.77,-6.05,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRIWCS_31603180_21B,,Kedzie Ave,Multibeam,,,conditional,2021,20210302,20210302,316,318,Illinois_Waterway,CS,DUBUQUE,CHANNEL,5,577.35,NGVD 29,-0.15,577.5,Hired_Labor,,100822,-23.36,-6.07,,B5ODTBVC,1/6/2022 19:00,B5ODTBVC,1/6/2022 19:00
MVRUM13_52955305_21L,,Elk River,Singlebeam,,,afterDredging,2021,20210816,20210816,529.5,530.5,Mississippi_River,13,COOT,CHANNEL,100,584.19,MSL 1912,1.19,583,Hired_Labor,,10740,-28.15,-2.54,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM13_55425553_21B,,Duck Creek,Singlebeam,,,beforeDredging,2021,20210817,20210817,554.2,555.3,Mississippi_River,13,COOT,CHANNEL,100,587.36,MSL 1912,4.36,583,Hired_Labor,,10560,-21.59,-1.04,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM13_52935305_21M,,Elk River,Singlebeam,,,conditional,2021,20211018,20211018,529.3,530.5,Mississippi_River,13,COOT,CHANNEL,200,583.5,MSL 1912,0.5,583,Hired_Labor,,10323,-30.7,-3.2,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM14_50305045_21A,,Steamboat,Multibeam,,,conditional,2021,20210325,20210325,503,504.5,Mississippi_River,14,COOT,CHANNEL,5,573.8,MSL 1912,1.8,572,Hired_Labor,,305812,-29.33,-4.99,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM14_50945102_21A,,Marais Dosier,Multibeam,,,conditional,2021,20210325,20210325,509.4,510.2,Mississippi_River,14,COOT,CHANNEL,5,575.4,MSL 1912,3.4,572,Hired_Labor,,178681,-26.87,-5.25,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM14_49334941_21A,,Lock and Dam 14 Upper,Multibeam,,,conditional,2021,20210414,20210414,493.3,494.1,Mississippi_River,14,CORMORANT,LOCK_DAM,5,572.21,MSL 1912,0.21,572,Hired_Labor,,94421,-32.97,-3.18,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM14_50305045_21B,,Steamboat,Multibeam,,,conditional,2021,20210524,20210524,503,504.5,Mississippi_River,14,DUBUQUE,CHANNEL,5,572.99,MSL 1912,0.99,572,Hired_Labor,,231215,-30.97,-4.1,,B5ODTBVC,1/6/2022 20:50,B5ODTBVC,1/6/2022 20:50
MVRUM19_38913903_20G,,Dallas Island,Multibeam,,,afterDredging,2020,20201015,20201015,389.1,390.3,Mississippi_River,19,CLARK,CHANNEL,5,518.82,MSL 1912,0.62,518.82,Hired_Labor,,249774,-30.51,-4.66,,B5ODTBVC,1/15/2021 16:02,B5ODTBVC,1/15/2021 16:02
