Reach_ID,AverageRate_FtPerYr,MaxAverageRate_FtPerYr,MinAverageRate_FtPerYr
CEMVR_UM_19_MVR_9,0.067,6.295,-7.499
CEMVR_UM_20_MVR_1,0,25.211,-15
CEMVR_UM_20_MVR_10,0.121,15.066,-6.474
CEMVR_UM_20_MVR_11,0,5.686,-8.003
CEMVR_UM_20_MVR_12,0,8.889,-6.664
CEMVR_UM_20_MVR_13,0,22.933,-8.542
CEMVR_UM_20_MVR_14,0.21,30,-15
CEMVR_UM_20_MVR_15,0.205,5.954,-9.603
CEMVR_UM_20_MVR_16,0.336,25.788,-15
CEMVR_UM_20_MVR_17,0.141,6.891,-11.2
CEMVR_UM_20_MVR_18,0.095,9.799,-3.266
CEMVR_UM_20_MVR_19,0.134,15.87,-9.343
CEMVR_UM_20_MVR_2,0,2.164,-4.436
CEMVR_UM_20_MVR_20,0.184,13.241,-15
CEMVR_UM_20_MVR_3,0.399,30,-15
CEMVR_UM_20_MVR_4,0.272,18.376,-15
CEMVR_UM_20_MVR_5,0,3.039,-4.218
CEMVR_UM_20_MVR_6,1.929,7.63,-5.086
CEMVR_UM_20_MVR_7,1.563,8.683,-10.885
CEMVR_UM_20_MVR_8,0,1.67,-1.094
CEMVR_UM_20_MVR_9,0.066,30,-15
CEMVR_UM_21_MVR_1,0,9.515,-12.936
CEMVR_UM_21_MVR_10,0.013,30,-15
CEMVR_UM_21_MVR_11,0.03,14.876,-15
CEMVR_UM_21_MVR_12,0.205,30,-15
CEMVR_UM_21_MVR_13,0.145,30,-15
CEMVR_UM_21_MVR_14,0.075,30,-6.854
CEMVR_UM_21_MVR_15,0,28.44,-15
CEMVR_UM_21_MVR_16,0,30,-15
CEMVR_UM_21_MVR_17,0,2.251,-8.242
CEMVR_UM_21_MVR_18,0,30,-13.258
CEMVR_UM_21_MVR_2,0.049,3.193,-2.818
CEMVR_UM_21_MVR_3,0.04,2.776,-2.531
CEMVR_UM_21_MVR_4,0.038,13.901,-13.016
CEMVR_UM_21_MVR_5,0.11,5.458,-12.908
CEMVR_UM_21_MVR_6,0.172,18.712,-15
CEMVR_UM_21_MVR_7,0.019,6.14,-15
CEMVR_UM_21_MVR_8,0.026,30,-15
CEMVR_UM_21_MVR_9,0,9.307,-3.037
CEMVR_UM_22_MVR_1,0.133,29.921,-14.738
CEMVR_UM_22_MVR_10,0.006,5.469,-4.203
CEMVR_UM_22_MVR_11,0.102,30,-15
CEMVR_UM_22_MVR_12,0.125,30,-15
CEMVR_UM_22_MVR_13,0.654,30,-15
CEMVR_UM_22_MVR_14,0.387,30,-15
CEMVR_UM_22_MVR_15,0.243,30,-15
CEMVR_UM_22_MVR_16,0.57,30,-15
CEMVR_UM_22_MVR_17,0,0.758,-5.625
CEMVR_UM_22_MVR_18,0.061,17.638,-14.523
CEMVR_UM_22_MVR_19,0.235,30,-15
CEMVR_UM_22_MVR_2,0.088,27.708,-15
CEMVR_UM_22_MVR_20,0.177,30,-15
CEMVR_UM_22_MVR_21,0.211,7.275,-10.584
CEMVR_UM_22_MVR_22,0.112,7.816,-8.143
CEMVR_UM_22_MVR_23,0.149,30,-15
CEMVR_UM_22_MVR_24,0.226,26.656,-15
CEMVR_UM_22_MVR_3,0.036,4.413,-5.277
CEMVR_UM_22_MVR_4,0,10.055,-15
CEMVR_UM_22_MVR_5,0.022,30,-15
CEMVR_UM_22_MVR_6,0.186,22.22,-15
CEMVR_UM_22_MVR_7,0,3.554,-3.84
CEMVR_UM_22_MVR_8,0,1.753,-3.554
CEMVR_UM_22_MVR_9,0.027,8.623,-12.503
CEMVR_UM_24_MVR_1,0.186,27.305,-15
